Date	montant de ventes
2019-06-16	3036.12
2019-06-16	4691.48
2019-06-16	825.42
2019-06-16	3836.46
2019-06-16	3733.54
2019-06-16	2670.04
2019-06-17	6196.35
2019-06-17	4844.05
2019-06-17	2865.51
2019-06-17	766.31
2019-06-17	7097.54
2019-06-17	10324.09
2019-06-18	8478.48
2019-06-18	7069.8
2019-06-18	8085.11
2019-06-18	6111.13
2019-06-18	2199.24
2019-06-18	9462.39
2019-06-19	8159.74
2019-06-19	1686.07
2019-06-19	4718.69
2019-06-19	8565.08
2019-06-20	5168.12
2019-06-20	7279.5
2019-06-20	3348.99
2019-06-21	7008.94
2019-06-22	7475.81
2019-06-22	7749.82
2019-06-22	909.83
2019-06-22	2330.54
2019-06-23	6062.61
2019-06-23	5521.37
2019-06-23	9347.94
2019-06-24	9840.68
2019-06-24	5998.66
2019-06-24	711.33
2019-06-24	7771.45
2019-06-24	2228.92
2019-06-24	78.82
2019-06-24	2314.85
2019-06-24	9499.05
2019-06-25	2677.02
2019-06-25	6147.17
2019-06-25	939.17
2019-06-25	3585.76
2019-06-25	2790.7
2019-06-25	10203.87
2019-06-27	669.25
2019-06-28	4704.92
2019-06-28	10956.8
2019-06-28	9749.53
2019-06-28	2558.82
2019-06-28	1302.7
2019-06-30	10539.36
2019-06-30	349.96
2019-06-30	10190.37
2019-06-30	2813.74
2019-06-30	11127.14
2019-06-30	10957.09
2019-07-01	3542.78
2019-07-01	7449.18
2019-07-02	9456.08
2019-07-02	9240.7
2019-07-02	3986.28
2019-07-02	6472.09
2019-07-03	5308.96
2019-07-03	3741.84
2019-07-03	8434.59
2019-07-03	10425.08
2019-07-03	967.04
2019-07-04	10493.51
2019-07-04	4065.62
2019-07-04	10918.54
2019-07-06	2255.66
2019-07-07	3796.97
2019-07-07	8782.33
2019-07-07	7918.87
2019-07-07	11405.16
2019-07-07	6080.75
2019-07-08	10306.22
2019-07-09	2381.56
2019-07-09	7778.8
2019-07-09	8731.77
2019-07-09	9938.76
2019-07-09	1765.2
2019-07-10	6497.35
2019-07-11	7652.19
2019-07-11	122.5
2019-07-11	8894.38
2019-07-12	2254.34
2019-07-12	5139.03
2019-07-13	8058.68
2019-07-13	6895.52
2019-07-13	4674.92
2019-07-13	2393.74
2019-07-13	1417.11
2019-07-13	1868.41
2019-07-14	3886.39
2019-07-14	1617.28
2019-07-14	2490.61
2019-07-14	2591.74
2019-07-14	7269.54
2019-07-14	11546.97
2019-07-14	6410.42
2019-07-14	6529.72
2019-07-14	9521.26
